CFV COINFUND  —  SAM MASTER LIST  |  270-Day Battle Plan (Data Quality Resolved),,,,,,,,,,,,,
"2,144 firms   |   P1: 410   |   P2: 1,339   |   P3: 395   |   Phones: all resolved   |   Est. capital at 20% conversion: $5.97B",,,,,,,,,,,,,
Rank,Priority,Firm Name,City,State,Zip,Phone,AUM,AUM Tier,Est. Commit,Territory,Status,Notes,Address
599,P2,ROUND2 INVESTMENT PARTNERS LLC,NEW YORK,NY,10022,(917) 972-5921,"$144,449,443",$100-150M,"$5,055,731",Associate 1,,,"410 PARK AVENUE, SUITE 510"
600,P2,APEIRA CAPITAL ADVISORS LLC,NEW YORK,NY,10004,(917) 284-8549,"$144,428,171",$100-150M,"$5,054,986",Associate 1,,,60 BROAD STREET
601,P2,SUPER{SET},SAN FRANCISCO,CA,94105,(847) 868-2040,"$144,279,894",$100-150M,"$5,049,796",Associate 1,,,140 NEW MONTGOMERY STREET
602,P2,COLD BORE CAPITAL,CHICAGO,IL,60606,(312) 600-9645,"$144,055,593",$100-150M,"$5,041,946",Associate 1,,,311 SOUTH WACKER DRIVE
603,P2,INSPIRATION VENTURE PARTNERS,BURLINGAME,CA,94010,(650) 348-0790,"$144,033,549",$100-150M,"$5,041,174",Associate 1,,,330 PRIMROSE RD
604,P2,TWIN LIONS MANAGEMENT LLC,STAMFORD,CT,6901,(212) 203-4428,"$143,876,660",$100-150M,"$5,035,683",Associate 1,,,1 LANDMARK SQUARE
605,P2,THE NEWCASTLE NETWORK LP,WELLESLEY,MA,2482,(617) 640-7020,"$143,417,160",$100-150M,"$5,019,601",Associate 1,,,47 CHURCH STREET
606,P2,CAUSEWAY MEDIA PARTNERS,CAMBRIDGE,MA,2138,(617) 855-6339,"$143,377,091",$100-150M,"$5,018,198",Associate 1,,,44 BRATTLE ST
607,P2,"AGENT CAPITAL, LLC",WALTHAM,MA,2451,(847) 691-6233,"$143,321,521",$100-150M,"$5,016,253",Associate 1,,,1400 MAIN STREET
608,P2,"PB INVESTMENT PARTNERS, L.P.",BURLINGAME,CA,94010,(650) 804-2492,"$143,284,716",$100-150M,"$5,014,965",Associate 1,,,1350 BAYSHORE HIGHWAY
609,P2,LEARGAS CAPITAL LLC,WESTPORT,CT,06880-3001,(203) 442-4284,"$143,200,099",$100-150M,"$5,012,003",Associate 1,,,18 KINGS HWY N
610,P2,BUTLER HALL CAPITAL LLC,LOS ANGELES,CA,90049,(424) 644-6009,"$143,148,065",$100-150M,"$5,010,182",Associate 1,,,11661 SAN VICENTE BLVD.
611,P2,"DIGITX MANAGEMENT CO., LLC",SAN FRANCISCO,CA,94104,(415) 734-0760,"$142,995,161",$100-150M,"$5,004,831",Associate 1,,,155 MONTGOMERY STREET
612,P2,"BLACKHORN VENTURES MANAGEMENT, LLC",DENVER,CO,80206,(720) 598-2951,"$142,645,541",$100-150M,"$4,992,594",Associate 1,,,44 COOK ST
613,P2,AON ADVANTAGE FUNDS LLC,CHICAGO,IL,60601,(312) 381-0132,"$142,563,616",$100-150M,"$4,989,727",Associate 1,,,200 E. RANDOLPH
614,P2,"HELIOS CLIMATE VENTURES, LLC",DENVER,CO,80202,(978) 270-4195,"$142,486,993",$100-150M,"$4,987,045",Associate 1,,,1312 17TH STREET
615,P2,DEFINITION CAPITAL,NEW YORK,NY,10012,(540) 421-1606,"$142,414,889",$100-150M,"$4,984,521",Associate 1,,,134 WEST 4TH ST
616,P2,PIER ASSET MANAGEMENT LLC,MANHATTAN BEACH,CA,90266,(424) 324-2950,"$142,200,000",$100-150M,"$4,977,000",Associate 1,,,1230 ROSECRANS AVENUE
617,P2,"3B1 PARTNERS, LLC",NEW YORK,NY,10019,(212) 916-2403,"$142,031,469",$100-150M,"$4,971,101",Associate 1,,,"650 FIFTH AVENUE, 23RD FLOOR"
618,P2,PANI BEKAERT PLUIM & CO. LLC,SAN FRANCISCO,CA,94129,(415) 699-4751,"$141,150,000",$100-150M,"$4,940,250",Associate 1,,,THE PRESIDIO
619,P2,F3 PARTNERS LLC,NEW YORK,NY,10111,(212) 373-4000,"$140,976,605",$100-150M,"$4,934,181",Associate 1,,,630 FIFTH AVENUE
620,P2,JMH CAPITAL LLC,BOSTON,MA,2110,(617) 910-2605,"$140,815,495",$100-150M,"$4,928,542",Associate 1,,,10 HIGH STREET
621,P2,COMMONWEALTH ASSET MANAGEMENT LP,LOS ANGELES,CA,90025,(424) 363-0170,"$140,733,855",$100-150M,"$4,925,685",Associate 1,,,11755 WILSHIRE BLVD.
622,P2,TEPHRA DIGITAL LLC,NEW YORK,NY,10003,(917) 565-9636,"$140,676,273",$100-150M,"$4,923,670",Associate 1,,,33 IRVING PLACE
623,P2,GOLDENSTONE INVESTMENTS LP,CHICAGO,IL,60606,(312) 238-8626,"$140,617,034",$100-150M,"$4,921,596",Associate 1,,,"222 S. RIVERSIDE PLAZA,"
624,P2,"PRESIDIO PARTNERS MANAGEMENT, LLC",SAN FRANCISCO,CA,94123,(415) 425-5630,"$140,560,417",$100-150M,"$4,919,615",Associate 1,,,2181 GREENWICH STREET
625,P2,STRATIM PARTNERS LLC,SAN FRANCISCO,CA,94115,(415) 674-5800,"$139,991,376",$100-150M,"$4,899,698",Associate 1,,,1609 BAKER STREET
626,P2,"AWESOME ENABLERS, L.L.C.",SAN FRANCISCO,CA,94107,(415) 205-4825,"$139,896,059",$100-150M,"$4,896,362",Associate 1,,,953 INDIANA STREET
627,P2,BONSAI PARTNERS,CARLSBAD,CA,92011,(858) 367-5340,"$139,539,652",$100-150M,"$4,883,888",Associate 1,,,2131 PALOMAR AIRPORT ROAD
628,P2,HELENA SPECIAL INVESTMENTS LLC,NEW YORK,NY,10016,(212) 523-0875,"$139,020,865",$100-150M,"$4,865,730",Associate 1,,,261 MADISON AVE
629,P2,"EMERGENT STRATEGIC PARTNERS, LLC",BEVERLY HILLS,CA,90211,(310) 310-1092,"$138,970,176",$100-150M,"$4,863,956",Associate 1,,,8383 WILSHIRE BOULEVARD
630,P2,"GOOD FRIENDS, LLC.",SAN FRANCISCO,CA,94111,(415) 518-2106,"$138,751,589",$100-150M,"$4,856,306",Associate 1,,,30 HOTALING PL
631,P2,"TAMARIX CAPITAL MANAGEMENT, LLC",NEW YORK,NY,10022,(212) 430-8400,"$138,582,664",$100-150M,"$4,850,393",Associate 1,,,445 PARK AVENUE
632,P2,"INVENIRE CAPITAL, LLC",RIDGEFIELD,CT,6877,(203) 702-1827,"$138,491,851",$100-150M,"$4,847,215",Associate 1,,,90 GROVE STREET
633,P2,"BLACKHORN VENTURES MANAGEMENT II, LLC",DENVER,CO,80206,(720) 598-2951,"$138,388,511",$100-150M,"$4,843,598",Associate 1,,,44 COOK ST
634,P2,"JBV CAPITAL, LLC",SAN FRANCISCO,CA,94123,(703) 517-7567,"$138,372,140",$100-150M,"$4,843,025",Associate 1,,,2278 GREENWICH STREET
635,P2,"DABRA CAPITAL PARTNERS, LLC",BROOKLYN,NY,11201,(630) 615-9596,"$138,115,086",$100-150M,"$4,834,028",Associate 1,,,265 STATE STREET
636,P2,CORELINE MANAGEMENT LLC,REDWOOD CITY,CA,94065,(650) 223-5858,"$138,000,505",$100-150M,"$4,830,018",Associate 1,,,303 TWIN DOLPHIN DRIVE
637,P2,H SQUARED MANAGEMENT LP,NEW YORK,NY,10106,(212) 796-4956,"$137,790,000",$100-150M,"$4,822,650",Associate 1,,,888 7TH AVENUE
638,P2,ERIE STREET GROWTH PARTNERS,CHICAGO,IL,60606,(312) 640-7080,"$137,200,350",$100-150M,"$4,802,012",Associate 1,,,444 WEST LAKE STREET
639,P2,"WEBB INVESTMENT NETWORK MANAGEMENT, LLC",SAN FRANCISCO,CA,94103,(415) 484-8512,"$137,180,548",$100-150M,"$4,801,319",Associate 1,,,785 MARKET STREET
640,P2,"AQUILO CAPITAL MANAGEMENT, LLC",SAN FRANCISCO,CA,94129,(415) 635-0140,"$136,897,654",$100-150M,"$4,791,418",Associate 1,,,ONE LETTERMAN DRIVE
641,P2,STONECUTTER CAPITAL ADVISORS LLC,NEW YORK,NY,10010,(212) 920-6362,"$135,989,519",$100-150M,"$4,759,633",Associate 1,,,915 BROADWAY
642,P2,"CVF CAPITAL PARTNERS, INC.",DAVIS,CA,95618,(530) 757-7004,"$135,634,936",$100-150M,"$4,747,223",Associate 1,,,1590 DREW AVENUE
643,P2,"ISEED VENTURES, LLC",SAN FRANCISCO,CA,94105,(415) 993-7282,"$135,500,000",$100-150M,"$4,742,500",Associate 1,,,150 SPEAR STREET
644,P2,VENTURE CAPITAL INVESTMENT MANAGEMENT,SAN FRANCISCO,CA,94133,(415) 551-8600,"$135,106,824",$100-150M,"$4,728,739",Associate 1,,,909 MONTGOMERY STREET
645,P2,EXAGON IMPACT CAPITAL LLC,NEW YORK,NY,10036,(917) 797-4749,"$135,000,000",$100-150M,"$4,725,000",Associate 1,,,1185 AVENUE OF THE AMERICAS
646,P2,"FIREBOLT VENTURES MANAGEMENT COMPANY, LLC",LOS ALTOS,CA,94022,(408) 905-9063,"$134,426,342",$100-150M,"$4,704,922",Associate 1,,,4546 EL CAMINO REAL
647,P2,ALTIO CAPITAL US,NEW YORK,NY,10017,(212) 446-5363,"$133,984,578",$100-150M,"$4,689,460",Associate 1,,,489 FIFTH AVENUE
648,P2,"LASALLE CAPITAL MANAGEMENT, LLC",CHICAGO,IL,60606,(312) 236-7041,"$133,826,172",$100-150M,"$4,683,916",Associate 1,,,155 NORTH WACKER DRIVE
649,P2,"FYRFLY VENTURE PARTNERS, LLC",SAN FRANCISCO,CA,94111,(415) 608-5863,"$132,947,000",$100-150M,"$4,653,145",Associate 1,,,PIER 17
650,P2,DAYAH CAPITAL LLC,STAMFORD,CT,6901,(848) 206-0010,"$132,927,998",$100-150M,"$4,652,480",Associate 1,,,600 SUMMER STREET
651,P2,PHOENIX INVESTMENT ADVISER LLC,NEW YORK,NY,10170,(212) 359-6230,"$132,800,000",$100-150M,"$4,648,000",Associate 1,,,420 LEXINGTON AVENUE
652,P2,DOLBY FAMILY VENTURES LLC,SAN FRANCISCO,CA,94103,(415) 449-1005,"$132,636,739",$100-150M,"$4,642,286",Associate 1,,,999 BRANNAN STREET
653,P2,"SCOP VENTURES, LLC",SANTA BARBARA,CA,93101,(805) 729-0850,"$132,169,302",$100-150M,"$4,625,926",Associate 1,,,121 W. DE LA GUERRA ST.
654,P2,"TIPPET VENTURE PARTNERS (GP), LLC",PALO ALTO,CA,94304,(650) 493-5600,"$131,974,658",$100-150M,"$4,619,113",Associate 1,,,755 PAGE MILL ROAD
655,P2,"CHV MANAGEMENT, LLC",BOSTON,MA,2111,(781) 228-5228,"$131,895,583",$100-150M,"$4,616,345",Associate 1,,,"129 SOUTH STREET, 4TH FLOOR"
656,P2,FWD GLOBAL,NEW YORK,NY,10022,(475) 449-4909,"$131,582,390",$100-150M,"$4,605,384",Associate 1,,,445 PARK AVENUE 9TH FLOOR
657,P2,"IROQUOIS CAPITAL MANAGEMENT, LLC",SCARSDALE,NY,10583,(212) 974-3070,"$131,446,494",$100-150M,"$4,600,627",Associate 1,,,2 OVERHILL ROAD
658,P2,"HAYBEACH CAPITAL MANAGEMENT, LLC",RYE,NY,10580,(646) 846-9100,"$131,050,000",$100-150M,"$4,586,750",Associate 1,,,555 THEODORE FREMD AVENUE
659,P2,3I MANAGEMENT LLC,NEW YORK,NY,10013,(646) 239-3896,"$131,023,994",$100-150M,"$4,585,840",Associate 1,,,2 WOOSTER STREET
660,P2,DELGATTO CAPITAL GROUP LLC,NEW YORK,NY,10017,(212) 681-9550,"$131,000,000",$100-150M,"$4,585,000",Associate 1,,,589 FIFTH AVENUE
661,P2,DNX VENTURES,SAN MATEO,CA,94401,(650) 281-9059,"$130,995,928",$100-150M,"$4,584,857",Associate 1,,,55 EAST 3RD AVE
662,P2,"RSV MANAGEMENT, LLC",NEW YORK,NY,10011,(917) 740-5069,"$130,541,981",$100-150M,"$4,568,969",Associate 1,,,80 8TH AVENUE
663,P2,"SUNDANCE GROWTH MANAGEMENT, LLC",MENLO PARK,CA,94025,(801) 362-3152,"$130,288,734",$100-150M,"$4,560,106",Associate 1,,,700 EL CAMINO REAL
664,P2,"TEGEAN CAPITAL MANAGEMENT, LLC",NEW YORK,NY,10174,(212) 201-1950,"$129,678,289",$100-150M,"$4,538,740",Associate 1,,,405 LEXINGTON AVENUE
665,P2,CONIFER INFRASTRUCTURE PARTNERS,BOSTON,MA,2108,(254) 541-4323,"$129,416,348",$100-150M,"$4,529,572",Associate 1,,,ONE BOSTON PLACE
666,P2,"67 CAPITAL MANAGEMENT, LLC",GREENWICH,CT,6830,(203) 602-4235,"$129,347,964",$100-150M,"$4,527,179",Associate 1,,,"67 MASON STREET, 2ND FLOOR"
667,P2,"BLUEBIRD VENTURES GP I, LLC",PALO ALTO,CA,94304,(650) 493-5600,"$129,237,567",$100-150M,"$4,523,315",Associate 1,,,"BLDG A 200,"
668,P2,"WILSHIRE FINANCE PARTNERS, INC.",IRVINE,CA,92618,(310) 736-1370,"$128,987,686",$100-150M,"$4,514,569",Associate 1,,,2 VENTURE
669,P2,CV19 VENTURE MANAGER LLC,NEW YORK,NY,10022,(212) 812-0210,"$128,912,287",$100-150M,"$4,511,930",Associate 1,,,477 MADISON AVENUE
670,P2,AI VENTURES,PALO ALTO,CA,94306-2073,(650) 763-3655,"$128,845,614",$100-150M,"$4,509,596",Associate 1,,,"195 PAGE MILL RD., SUITE 115"
671,P2,BLOCKCHAIN PRINCIPAL MANAGEMENT LLC,NEW YORK,NY,10016,(415) 988-0073,"$128,435,791",$100-150M,"$4,495,253",Associate 1,,,387 PARK AVE SOUTH
672,P2,"CLEARVISION VENTURES MANAGEMENT, LLC",MENLO PARK,CA,94025,(650) 302-6645,"$127,874,519",$100-150M,"$4,475,608",Associate 1,,,"3000 SAND HILL ROAD,"
673,P2,"RATIONAL INVESTMENT GROUP, LLC",BROOKLINE,MA,2446,(617) 319-3282,"$127,740,736",$100-150M,"$4,470,926",Associate 1,,,1309 BEACON STREET
674,P2,"THE WICKS GROUP OF COMPANIES III, LLC",NEW YORK,NY,10022,(212) 838-5656,"$127,413,110",$100-150M,"$4,459,459",Associate 1,,,410 PARK AVENUE
675,P2,ALLEGIS CAPITAL MANAGEMENT COMPANY LLC,PALO ALTO,CA,94306,(650) 687-0500,"$127,305,753",$100-150M,"$4,455,701",Associate 1,,,200 PAGE MILL ROAD
676,P2,"BLACKBIRD CAPITAL MANAGEMENT, LLC",CHICAGO,IL,60654,(312) 724-8247,"$126,901,747",$100-150M,"$4,441,561",Associate 1,,,350 W. HUBBARD STREET
677,P2,"PELHAM S2K MANAGERS, LLC",NEW YORK,NY,10017,(212) 603-9766,"$126,615,794",$100-150M,"$4,431,553",Associate 1,,,330 MADISON AVE
678,P2,"CEDAR PARK CAPITAL MANAGEMENT, L.P.",NEW YORK,NY,10022,(212) 920-3120,"$126,318,919",$100-150M,"$4,421,162",Associate 1,,,65 EAST 55TH STREET
679,P2,"ADVAITA CAPITAL, LLC",BOSTON,MA,2109,(978) 846-4458,"$126,296,709",$100-150M,"$4,420,385",Associate 1,,,"53 STATE STREET, SUITE 500"
680,P2,BLUELINE CAPITAL,SAN FRANCISCO,CA,94111,(332) 266-8183,"$126,250,000",$100-150M,"$4,418,750",Associate 1,,,1045 SANSOME STREET
681,P2,KHRONOS LLC,BRONXVILLE,NY,10708,(212) 763-8800,"$126,202,231",$100-150M,"$4,417,078",Associate 1,,,51 PONDFIELD ROAD
682,P2,EXPANDING CAPITAL,GREENWICH,CT,6830,(415) 606-9209,"$126,165,065",$100-150M,"$4,415,777",Associate 1,,,151 RAIL ROAD AVENUE
683,P2,"SURFACE VENTURE MANAGEMENT, LLC",NEW YORK,NY,10011,(646) 717-0144,"$125,897,757",$100-150M,"$4,406,421",Associate 1,,,104 FIFTH AVENUE
684,P2,SLATE PROPERTY GROUP,NEW YORK,NY,10016,(646) 439-4000,"$125,761,139",$100-150M,"$4,401,640",Associate 1,,,440 PARK AVENUE SOUTH
685,P2,"MAIDEN LANE VENTURES II , LLC",SAN FRANCISCO,CA,94133,(415) 800-2052,"$125,468,567",$100-150M,"$4,391,400",Associate 1,,,90 GOLD STREET
686,P2,ORANGE RIVER MANAGEMENT L.P.,NEW YORK,NY,10019,(212) 204-3430,"$125,291,625",$100-150M,"$4,385,207",Associate 1,,,3 COLUMBUS CIRCLE
687,P2,"VR FUND MANAGEMENT, L.L.C",REDWOOD CITY,CA,94062,(650) 867-5311,"$125,035,322",$100-150M,"$4,376,236",Associate 1,,,570 EL CAMINO REAL
688,P2,ADVANCIT CAPITAL ADVISORS LLC,BOSTON,MA,2116,(781) 205-9660,"$124,517,612",$100-150M,"$4,358,116",Associate 1,,,10 ST. JAMES AVE.
689,P2,"TRIDENT CAPITAL, INC.",SAN MATEO,CA,94402-1728,(650) 289-4400,"$124,339,384",$100-150M,"$4,351,878",Associate 1,,,400 S EL CAMINO REAL
690,P2,UNLESS MANAGEMENT LP,BOULDER,CO,80302-5236,(720) 663-1211,"$123,503,379",$100-150M,"$4,322,618",Associate 1,,,1023 WALNUT STREET
691,P2,WESTWAVE CAPITAL LLC,REDWOOD CITY,CA,94063,(415) 640-8911,"$123,305,196",$100-150M,"$4,315,682",Associate 1,,,570 EL CAMINO REAL
692,P2,ACUMEN CAPITAL PARTNERS LLC,NEW YORK,NY,10013,(212) 566-8821,"$122,873,128",$100-150M,"$4,300,559",Associate 1,,,"40 WORTH STREET, SUITE 303"
693,P2,"SCHEMATIC VENTURES, LLC",SAN FRANCISCO,CA,94108,(615) 430-5892,"$122,798,612",$100-150M,"$4,297,951",Associate 1,,,"133 KEARNY STREET, #401"
694,P2,DUNBAR,HICKSVILLE,NY,11801,(804) 432-7469,"$122,769,189",$100-150M,"$4,296,922",Associate 1,,,60 NORTH BROADWAY
695,P2,MINDSET CONSULTING (US) LLC,SAN FRANCISCO,CA,94108,(415) 548-6400,"$122,766,328",$100-150M,"$4,296,821",Associate 1,,,77 GEARY ST.
696,P2,A-GRADE MANAGEMENT LLC,LOS ANGELES,CA,90069-3110,(310) 228-2894,"$122,716,116",$100-150M,"$4,295,064",Associate 1,,,9130 W. SUNSET BLVD.
697,P2,"VIP CAPITAL MANAGEMENT, L.P.",NEW YORK,NY,10019,(212) 277-5617,"$122,454,243",$100-150M,"$4,285,899",Associate 1,,,152 WEST 57TH STREET
698,P2,"ROBERTS CAPITAL ADVISORS, LLC",DENVER,CO,80210,(212) 731-4153,"$122,114,607",$100-150M,"$4,274,011",Associate 1,,,1445 S PEARL STREET
699,P2,PROSPERITY ADVISORS LLC,NEW YORK,NY,10012,(212) 658-1740,"$122,049,965",$100-150M,"$4,271,749",Associate 1,,,134 SPRING ST.
700,P2,"RVP MANAGEMENT, LLC",CAMBRIDGE,MA,2139,(917) 720-3092,"$121,717,285",$100-150M,"$4,260,105",Associate 1,,,201 BROADWAY
701,P2,WINGMAN GROWTH PARTNERS,GREENWICH,CT,6830,(203) 309-2625,"$121,300,000",$100-150M,"$4,245,500",Associate 1,,,130 MASON STREET
702,P2,ORBIT VENTURE PARTNERS LLC,NORWALK,CT,6853,(203) 957-3028,"$120,914,471",$100-150M,"$4,232,006",Associate 1,,,137 ROWAYTON AVENUE
703,P2,"KIDS CAPITAL MANAGEMENT, L.P.",LOS ANGELES,CA,90067,(310) 271-7768,"$120,746,354",$100-150M,"$4,226,122",Associate 1,,,1801 CENTURY PARK EAST
704,P2,"PM MGMT, LP",ENCINO,CA,91436,(818) 905-9500,"$120,677,778",$100-150M,"$4,223,722",Associate 1,,,"16030 VENTURA BLVD., SUITE 380"
705,P2,KCB MANAGEMENT LLC,PASADENA,CA,91105,(626) 356-0944,"$120,319,000",$100-150M,"$4,211,165",Associate 1,,,"117 E COLORADO BLVD, SUITE 400"
706,P2,X/SEED CAPITAL,SAN FRANCISCO,CA,94109,(415) 336-7341,"$120,200,000",$100-150M,"$4,207,000",Associate 1,,,1410 FRANKLIN STREET
707,P2,"NORTH RUN CAPITAL, LP",BOSTON,MA,2116,(617) 310-6130,"$120,043,401",$100-150M,"$4,201,519",Associate 1,,,867 BOYLSTON ST.
708,P2,ZS FUND ADVISERS LLC,NEW YORK,NY,10111,(212) 398-6200,"$119,865,531",$100-150M,"$4,195,294",Associate 1,,,630 5TH AVENUE
709,P2,"JONES STREET INVESTMENT PARTNERS, LLC",BOSTON,MA,2110,(617) 904-4040,"$119,383,070",$100-150M,"$4,178,407",Associate 1,,,100 FEDERAL STREET
710,P2,INFRANITY N.A.,NEW YORK,NY,10177,+33 6 75 37 30 21,"$119,256,924",$100-150M,"$4,173,992",Associate 1,,,250 PARK AVENUE
711,P2,ACORN PACIFIC VENTURES,SAN MATEO,CA,94402,(925) 388-6439,"$119,116,397",$100-150M,"$4,169,074",Associate 1,,,"411 BOREL AVE, SUITE 650"
712,P2,"PRIME MANAGEMENT COMPANY I, LLC",CAMBRIDGE,MA,2139,(781) 254-2929,"$118,954,989",$100-150M,"$4,163,425",Associate 1,,,"625 MASSACHUSETTS AVENUE, 2ND FLOOR"
713,P2,CLEANHILL PARTNERS,NEW YORK,NY,10019,(917) 748-4425,"$118,800,127",$100-150M,"$4,158,004",Associate 1,,,"650 5TH AVENUE, SUITE 1400"
714,P2,"PRIDES CROSSING CAPITAL MANAGEMENT, LLC",WAKEFIELD,MA,1880,(781) 716-5830,"$118,752,389",$100-150M,"$4,156,334",Associate 1,,,701 EDGEWATER DRIVE
715,P2,QUADPOINT PARTNERS LLC,BROOKLYN,NY,11217,(516) 360-0317,"$118,597,297",$100-150M,"$4,150,905",Associate 1,,,668 WARREN STREET
716,P2,"PRIMETIME PARTNERS MANAGEMENT COMPANY, LLC",NEW YORK,NY,10022,(917) 539-2794,"$118,420,488",$100-150M,"$4,144,717",Associate 2,,,430 PARK AVENUE
717,P2,"MSRH, LLC",NEW  YORK,NY,10005,(212) 240-9726,"$118,376,529",$100-150M,"$4,143,179",Associate 2,,,88 PINE STREET
718,P2,"CAA CONNECT, LLC",LOS ANGELES,CA,90067,(424) 288-2000,"$117,576,396",$100-150M,"$4,115,174",Associate 2,,,2000 AVENUE OF THE STARS
719,P2,"MISSION VENTURES OPERATING COMPANY, LLC",SAN DIEGO,CA,92121,(858) 350-2170,"$117,300,280",$100-150M,"$4,105,510",Associate 2,,,9255 TOWNE CENTRE DRIVE
720,P2,SEARCH FUND PARTNERS,MENLO PARK,CA,94025,(650) 868-9855,"$117,020,000",$100-150M,"$4,095,700",Associate 2,,,"885 OAK GROVE, SUITE 209"
721,P2,SQUADRON CAPITAL MANAGEMENT LLC,WESTMONT,IL,60559,(847) 481-9500,"$117,017,461",$100-150M,"$4,095,611",Associate 2,,,999 OAKMONT PLAZA DRIVE
722,P2,ETH CORP.,NEW YORK,NY,10019,(914) 242-9230,"$116,882,940",$100-150M,"$4,090,903",Associate 2,,,3 COLUMBUS CIRCLE
723,P2,"WINDSAIL CAPITAL GROUP, LLC",BOSTON,MA,2110,(617) 423-6064,"$116,670,064",$100-150M,"$4,083,452",Associate 2,,,"133 FEDERAL STREET, SUITE 903"
724,P2,"VISIONNAIRE VENTURES, LLC",SAN FRANCISCO,CA,94108,(678) 628-2891,"$116,564,520",$100-150M,"$4,079,758",Associate 2,,,166 GEARY ST
725,P2,ELWOOD CAPITAL PARTNERS LP,NEW YORK,NY,10016,(646) 485-6574,"$116,551,358",$100-150M,"$4,079,298",Associate 2,,,275 MADISON AVENUE
726,P2,ANAR MANAGEMENT LLC,PALO ALTO,CA,94306,(408) 386-4030,"$116,460,813",$100-150M,"$4,076,128",Associate 2,,,530 IRVEN CT.
727,P2,"MFV PARTNERS MANAGEMENT, LLC",PALO ALTO,CA,94301,(650) 603-0900,"$116,195,000",$100-150M,"$4,066,825",Associate 2,,,"555 BRYANT STREET, #380"
728,P2,"KITCHEN VENTURES, LLC",NEW YORK,NY,10022,(212) 594-4803,"$116,160,943",$100-150M,"$4,065,633",Associate 2,,,"500 PARK AVENUE, 4TH FLOOR"
729,P2,"FREEDOM FINANCIAL ASSET MANAGEMENT, LLC",SAN MATEO,CA,94402,(650) 954-2444,"$115,957,018",$100-150M,"$4,058,496",Associate 2,,,1875 SOUTH GRANT STREET
730,P2,"TUATARA CAPITAL, L.P.",NEW YORK,NY,10017,(203) 985-9935,"$115,780,052",$100-150M,"$4,052,302",Associate 2,,,211 EAST 43RD STREET
731,P2,CLARA VISTA MANAGEMENT COMPANY LLC,NEW YORK,NY,10017,(201) 218-3834,"$115,612,591",$100-150M,"$4,046,441",Associate 2,,,"450 LEXINGTON AVENUE, 4TH FLOOR"
732,P2,"MISCHIEF CAPITAL MANAGEMENT, LLC",SAN FRANCISCO,CA,94102,(415) 683-4936,"$115,266,179",$100-150M,"$4,034,316",Associate 2,,,448 LINDEN ST.
733,P2,EAGLE GROUP FINANCE LOAN CORP.,LOS ANGELES,CA,90025,(310) 843-0001,"$115,177,384",$100-150M,"$4,031,208",Associate 2,,,12100 WILSHIRE BLVD
734,P2,ROPPEL CAPITAL MANAGEMENT LLC,PARK RIDGE,IL,60068,(847) 318-9001,"$115,000,000",$100-150M,"$4,025,000",Associate 2,,,100 SOUTH PROSPECT
735,P2,"VALINOR MANAGEMENT, L.P.",NEW YORK,NY,10174,(212) 918-5230,"$114,922,110",$100-150M,"$4,022,274",Associate 2,,,"405 LEXINGTON AVENUE, 34TH FLOOR"
736,P2,NGN CAPITAL LLC,STAMFORD,CT,6902,(212) 972-0077,"$114,914,952",$100-150M,"$4,022,023",Associate 2,,,60 LONG RIDGE ROAD
737,P2,"MAIDEN LANE VENTURES, LLC",SAN FRANCISCO,CA,94133,(415) 800-2052,"$114,816,172",$100-150M,"$4,018,566",Associate 2,,,90 GOLD STREET
738,P2,"INNOVATING CAPITAL MANAGEMENT, LLC",GREENWICH,CT,6830,(760) 822-0446,"$114,808,206",$100-150M,"$4,018,287",Associate 2,,,1 DEER PARK COURT
739,P2,"MCA REALTY, INC",SANTA ANA,CA,92705,(949) 988-7950,"$114,740,649",$100-150M,"$4,015,923",Associate 2,,,1750 E DEERE AVE 2ND FLOOR
740,P2,"GVC AMERICAS, LLC",CHICAGO,IL,60654,(312) 312-3140,"$114,651,439",$100-150M,"$4,012,800",Associate 2,,,343 WEST ERIE STREET
741,P2,"IRVING PLACE CAPITAL MANAGEMENT, L.P.",NEW YORK,NY,10151,(212) 551-4500,"$114,025,875",$100-150M,"$3,990,906",Associate 2,,,745 FIFTH AVENUE
742,P2,"MYRIAD VENTURE PARTNERS, LLC",BOSTON,MA,2110,(513) 518-4933,"$114,002,361",$100-150M,"$3,990,083",Associate 2,,,"125 HIGH ST., FLR. 21"
743,P2,FUSION CAPITAL,LOS ANGELES,CA,90025,(949) 842-9308,"$114,000,000",$100-150M,"$3,990,000",Associate 2,,,1640 S SEPULVEDA BLVD
744,P2,"LEGEIS CAPITAL ADVISORS, LLC",GREAT NECK,NY,11021,(516) 329-9923,"$113,978,864",$100-150M,"$3,989,260",Associate 2,,,3 GRACE AVENUE
745,P2,"TIME BIO MANAGEMENT, LLC",LOS ANGELES,CA,90067,(858) 337-8900,"$113,292,509",$100-150M,"$3,965,238",Associate 2,,,"1880 CENTURY PARK E, SUITE 200"
746,P2,"BAM VENTURES MANAGEMENT, LLC",LOS ANGELES,CA,90025,(310) 621-7501,"$113,157,117",$100-150M,"$3,960,499",Associate 2,,,11512 MISSISSIPPI AVE
747,P2,GRAPHENE CAPITAL MANAGEMENT LP,NEW YORK,NY,10017,(646) 585-6503,"$113,000,000",$100-150M,"$3,955,000",Associate 2,,,489 FIFTH AVENUE
